"name","full_name","url","description"
"herebedragons","kosua20/herebedragons","https://github.com/kosua20/herebedragons.git","A basic 3D scene implemented with various engines, frameworks or APIs."
"go","golang/go","https://github.com/golang/go.git","The Go programming language"
"a2","Ignat99/a2","https://github.com/Ignat99/a2.git","Bluebottle OS"
"ProjectOberon2013","Spirit-of-Oberon/ProjectOberon2013","https://github.com/Spirit-of-Oberon/ProjectOberon2013.git","Project Oberon (New Edition 2013) Unofficial Mirror"
"smalltalk","gnu-smalltalk/smalltalk","https://github.com/gnu-smalltalk/smalltalk.git","GNU Smalltalk"
"racket","racket/racket","https://github.com/racket/racket.git","The Racket repository"
"voc","vishaps/voc","https://github.com/vishaps/voc.git","vishap oberon compiler"
"src","NetBSD/src","https://github.com/NetBSD/src.git","Automatic conversion of the NetBSD src CVS module, use with care"
"src","openbsd/src","https://github.com/openbsd/src.git","Public git conversion mirror of OpenBSD's official cvs src repository. "
"lelux","cheery/lelux","https://github.com/cheery/lelux.git","Toy Linux distribution"
"vmTetris","2bt/vmTetris","https://github.com/2bt/vmTetris.git","Tetris in a small virtual machine"
"PuzzleScript","increpare/PuzzleScript","https://github.com/increpare/PuzzleScript.git","Open Source HTML5 Puzzle Game Engine"
"collector","brendan-w/collector","https://github.com/brendan-w/collector.git","An experimental tag-based file manager for linux"
"kilo","antirez/kilo","https://github.com/antirez/kilo.git","A text editor in less than 1000 LOC with syntax highlight and search."
"med","DigitalMars/med","https://github.com/DigitalMars/med.git","Micro Emacs in D"
"me","DigitalMars/me","https://github.com/DigitalMars/me.git","Micro Emacs in C"
"kilua","skx/kilua","https://github.com/skx/kilua.git","A minimal text-editor with lua scripting."
"unix-history-repo","dspinellis/unix-history-repo","https://github.com/dspinellis/unix-history-repo.git","Continuous Unix commit history from 1970 until today"
"freebsd","freebsd/freebsd","https://github.com/freebsd/freebsd.git","FreeBSD src tree (read-only mirror)"
"pascal","tangentstorm/pascal","https://github.com/tangentstorm/pascal.git","various pascal compilers"
"cl-chip8","sjl/cl-chip8","https://github.com/sjl/cl-chip8.git","chip-8 emulator in common lisp"
